
> bitbadges-indexer@1.0.0 test:coverage
> jest ./src --coverage --runInBand --detectOpenHandles

---------------------------------------------|---------|----------|---------|---------|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
File                                         | % Stmts | % Branch | % Funcs | % Lines | Uncovered Line #s                                                                                                                                                                                                                                                                                                           
---------------------------------------------|---------|----------|---------|---------|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
All files                                    |   55.65 |    38.88 |   40.91 |   56.61 |                                                                                                                                                                                                                                                                                                                             
 src                                         |    47.9 |    20.84 |   29.34 |   47.95 |                                                                                                                                                                                                                                                                                                                             
  constants.ts                               |     100 |       50 |     100 |     100 | 1                                                                                                                                                                                                                                                                                                                           
  indexer-vars.ts                            |     100 |     62.5 |     100 |     100 | 15-31                                                                                                                                                                                                                                                                                                                       
  indexer.ts                                 |   76.17 |       40 |   47.36 |   75.77 | 74-77,83,93,103,108,128-129,138-139,145,156,162-169,221-233,242-297,422-425,434,465-466,479,487,491                                                                                                                                                                                                                         
  oauth.ts                                   |   36.98 |    29.26 |       0 |   34.28 | 29-33,48-54,67-72,78-79,84-85,95-120,142-166,171-195                                                                                                                                                                                                                                                                        
  poll.ts                                    |   17.37 |     4.16 |      10 |   18.13 | 99-100,111,120-123,134,149-228,242-334,340-467,471-475,484-578,583-585,589,593-601,611-898                                                                                                                                                                                                                                  
  queue.ts                                   |   71.98 |    38.12 |      50 |    71.8 | 68,97-98,111-121,148-165,174,193,199-225,256,267,283,294,310,326,335,345,377,425,429,443,455-470,526,529,532,545,595-599,680,692-694,790-802,814                                                                                                                                                                            
 src/blockin                                 |   79.36 |    75.63 |   72.91 |   79.22 |                                                                                                                                                                                                                                                                                                                             
  BtcDriver.ts                               |      50 |        0 |      20 |      50 | 23-43                                                                                                                                                                                                                                                                                                                       
  CosmosDriver.ts                            |   43.47 |        0 |      25 |   43.47 | 32-63                                                                                                                                                                                                                                                                                                                       
  EthDriver.ts                               |      75 |        0 |      60 |      75 | 24-28,37                                                                                                                                                                                                                                                                                                                    
  SolDriver.ts                               |    37.5 |        0 |      20 |    37.5 | 24-52                                                                                                                                                                                                                                                                                                                       
  blockin.ts                                 |      75 |       20 |     100 |   73.33 | 15,19-23                                                                                                                                                                                                                                                                                                                    
  blockin_handlers.ts                        |   81.52 |    75.53 |     100 |   82.78 | 134,142,167-168,204-209,213,217,221,225,253,261,292-296,304,380,384-386,428-429                                                                                                                                                                                                                                             
  scopes.ts                                  |     100 |      100 |     100 |     100 |                                                                                                                                                                                                                                                                                                                             
